,영화제목,개봉일,장르,누적관객수
205,타워 (The Tower),2012-12-25,드라마,5181244
206,해리포터와 비밀의 방 (Harry Potter And The Chamber Of Secrets),2002-12-13,드라마,137788
207,테이큰 2 (Taken 2),2012-09-27,액션,2308646
208,킬러의 보디가드 (The Hitman's Bodyguard),2017-08-30,액션,1722017
209,엑스맨: 데이즈 오브 퓨처 패스트 (X-Men: Days of Future Past),2014-05-22,액션,4313871
210,나우 유 씨 미 2 (Now You See Me 2),2016-07-13,범죄,3100113
211,아이 캔 스피크 (I Can Speak ),2017-09-21,코미디,3283434
212,지.아이.조 2 (G.I. Joe 2: Retaliation),2013-03-28,액션,1855917
213,미녀와 야수 (Beauty and the Beast),2017-03-16,멜로/로맨스,5138328
214,레버넌트: 죽음에서 돌아온 자 (The Revenant),2016-01-14,어드벤처,2007665
215,퓨리 (Fury),2014-11-20,액션,1362114
216,콩: 스컬 아일랜드 (Kong: Skull Island),2017-03-08,액션,1689717
217,몽타주 (Montage),2013-05-16,스릴러,2095592
218,잭 리처: 네버 고 백 (Jack Reacher: Never Go Back),2016-11-30,액션,612328
219,배틀쉽 (Battleship),2012-04-11,SF,2241687
220,악의 연대기 (The Chronicles of Evil),2015-05-14,스릴러,2192525
221,조선명탐정: 흡혈괴마의 비밀 (Detective K: Secret of the Living Dead),2018-02-08,사극,2444136
222,너의 이름은. (your name.),2017-01-04,애니메이션,3715089
223,원더 우먼 (Wonder Woman),2017-05-31,액션,2165401
224,앤트맨과 와스프 (Ant-Man and the Wasp),2018-07-04,액션,5448134
225,표적 (The Target),2014-04-30,액션,2841884
226,차이나타운 (Coin Locker Girl),2015-04-29,범죄,1472147
227,트랜스포머: 최후의 기사 (TRANSFORMERS: THE LAST KNIGHT),2017-06-21,액션,2614601
228,댄싱퀸 (Dancing Queen),2012-01-18,코미디,4058225
229,원더풀 고스트 (THE SOUL-MATE),2018-09-26,코미디,450378
230,니모를 찾아서 (Finding Nemo),2003-06-05,애니메이션,73483
231,몬스터 호텔 2 (Hotel Transylvania 2),2015-12-24,애니메이션,1515104
232,매드 맥스: 분노의 도로 (Mad Max: Fury Road),2015-05-14,액션,3884130
233,피끓는 청춘 (Hot Young Bloods),2014-01-22,코미디,1676040
234,미스 페레그린과 이상한 아이들의 집 (Miss Peregrine's Home For Peculiar Children),2016-09-28,미스터리,2718158
235,반창꼬 (Love 911),2012-12-19,멜로/로맨스,2475797
236,화차 (Helpless),2012-03-08,미스터리,2436884
237,가문의 영광5 - 가문의 귀환 (Return of the Mafia),2012-12-19,코미디,1160021
238,창궐 (Rampant),2018-10-25,사극,1599598
239,지오스톰 (Geostorm),2017-10-19,액션,1028384
240,로건 (Logan),2017-03-01,액션,2169109
241,라푼젤 (Tangled),2011-02-10,애니메이션,1015392
242,수어사이드 스쿼드 (Suicide Squad),2016-08-03,액션,1898220
243,존 윅 - 리로드 (John Wick Chapter Two),2017-02-22,액션,277370
244,악질경찰 (Jo Pil-ho: The Dawning Rage),2019-03-20,범죄,262233
245,간첩 (The Spies),2012-09-20,드라마,1310895
246,메이즈 러너: 데스 큐어 (Maze Runner: The Death Cure),2018-01-17,액션,2299732
247,고령화 가족 (Boomerang Family),2013-05-09,드라마,1141222
248,몬스터 호텔 (HOTEL TRANSYLVANIA),2013-01-17,애니메이션,884988
249,뽀로로의 대모험 (Pororo To The Cookie Castle), ,애니메이션,0
250,캡틴 아메리카: 윈터 솔져 (Captain America: The Winter Soldier),2014-03-26,액션,3963964
251,성난 변호사 (The Advocate : A Missing Body),2015-10-08,범죄,1128288
252,굿 다이노 (The Good Dinosaur),2016-01-07,애니메이션,1330183
253,다크 나이트 라이즈 (The Dark Knight Rises),2012-07-19,액션,6399303
254,스물 (Twenty),2015-03-25,코미디,3044859
255,캡틴 마블 (Captain Marvel),2019-03-06,액션,5802811
256,도리를 찾아서 (Finding Dory),2016-07-06,애니메이션,2601761
257,어메이징 스파이더맨 2 (The Amazing Spider-Man 2),2014-04-23,액션,4168353
258,26년 (26 Years),2012-11-29,액션,2963652
259,헝거게임: 캣칭 파이어 (The Hunger Games: Catching Fire),2013-11-21,판타지,1127373
260,"님아, 그 강을 건너지 마오 (My Love, Don't Cross That River)",2014-11-27,다큐멘터리,4802416
261,인셉션 (Inception),2010-07-21,드라마,5835017
262,메리다와 마법의 숲 (Brave),2012-09-27,애니메이션,1231261
263,레지던트 이블 5 : 최후의 심판 (Resident Evil: Retribution),2012-09-13,액션,558443
264,도가니 (Silenced),2011-09-22,드라마,4662926
265,증인 (Innocent Witness),2019-02-13,드라마,2534748
266,짱구는 못말려 극장판: 태풍을 부르는 황금스파이 대작전 (Crayon Shin-chan: The Storm Called: Operation Golden Spy),2012-04-26,애니메이션,272062
267,인디펜던스 데이 : 리써전스 (Independence Day: Resurgence),2016-06-22,액션,1500830
268,소원 (Hope),2013-10-02,드라마,2711094
269,극장판 파워레인저: 캡틴포스 VS 미라클포스 199 히어로 대결전  (Pawer Rangers: Captain Force VS Miracle Force),2012-12-13,애니메이션,110771
270,분노의 질주: 더 맥시멈 (The Fast and the Furious 6),2013-05-22,액션,1790916
271,엣지 오브 투모로우 (Edge of Tomorrow),2014-06-04,액션,4699307
272,씽 (Sing),2016-12-21,애니메이션,1730773
273,몬스터 대학교 (Monsters University),2013-09-12,애니메이션,870759
274,위대한 쇼맨 (The Greatest Showman),2017-12-20,드라마,1403019
275,나를 찾아줘 (Gone Girl),2014-10-23,스릴러,1764233
276,신들의 전쟁 (Immortals),2011-11-10,드라마,1338411
277,워크래프트: 전쟁의 서막 (Warcraft),2016-06-09,액션,1163274
